uri_inchikey,iupacName,prefLabel,prefLabel_en,altLabel,notation,definition,exactMatch,casNumber,ecNumber,pubchem,inScheme,source,validatie_status
AIVWIYIHAXBGHP-UHFFFAOYSA-N,2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-[2-(2-nonylphenoxy)ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethoxy]ethanol,,"44-(Nonylphenoxy)-3,6,9,12,15,18,21,24,27,30,33,36,39,42-tetradecaoxatetratetracontanol",,,,,57321-10-5,260-678-0,compound:CID6453460,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AIYYMMQIMJOTBM-UHFFFAOYSA-L,nickel(2+);diacetate,,Nickel Acetate,,,,,373-02-4,206-761-7,compound:CID9756,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AJAKLDUGVSKVDG-UHFFFAOYSA-N,"3,7,11,15-Tetramethylhexadecan-1-ol","3,7,11,15-tetramethyl-1hexadecanol",,,371115T4C1y1,,,645-72-7,,compound:CID102459,conceptscheme:chemische_stof,,status:todo
AJDIZQLSFPQPEY-UHFFFAOYSA-N,"1,1,2-Trichloro-1,2,2-trifluoroethane","1,1,2-trichloortrifluorethaan",,"1,1,2-trichloor-1,2,2-trifluorethaan|1,1,2-trichloortrifluor-ethaan",CFK113,,wise:CAS_76-13-1,57762-34-2|59948-56-0|56996-61-3|76-13-1|39349-94-5,,compound:CID6428,conceptscheme:chemische_stof,,status:todo
AJMAYLFJZQYRHN-UHFFFAOYSA-N,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecane-1-sulfonic acid",10:2 fluortelomeersulfonzuur,,,10:2 FTS,,,120226-60-0,,compound:CID23136180,conceptscheme:chemische_stof,,status:todo
AJRJPORIQGYFMT-PVOVUMCXSA-N,"(2Z)-2-ethylidene-1,5-dimethyl-3,3-di(phenyl)pyrrolidine","2-ethylidene-1,5-dimethyl-3,3-difenylpyrrolidine",,,2C2yid15DC1y,,,30223-73-5|57195-65-0,,compound:CID5378015,conceptscheme:chemische_stof,,status:todo
AJSOQFSSIPJHMP-UHFFFAOYSA-N,4-(3-ethylpentyl)phenol,,4-(3-Ethylpentyl)phenol,,,,,911370-98-4,,compound:CID18730076,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AJVCEIPMQIRLFR-UHFFFAOYSA-N,diphenylarsanylmethyl(diphenyl)arsane,,Methylenebis(diphenylarsine),,,,,21892-63-7,244-639-5,compound:CID89089,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AJYPYWFCUWHZMZ-UHFFFAOYSA-M,potassium (4-acetamidophenyl) sulfate,acetaminophen sulfaatester,,,actmnpSO4Esr,,,32113-41-0|10066-90-7|129396-21-0,,compound:CID6365369,conceptscheme:chemische_stof,,status:todo
AKCRQHGQIJBRMN-UHFFFAOYSA-N,2-Chloroaniline,o-chlooraniline,,2-chlooraniline,2ClAn,,wise:CAS_95-51-2,27134-26-5|95-51-2,,compound:CID7240,conceptscheme:chemische_stof,,status:todo
AKEJUJNQAAGONA-UHFFFAOYSA-N,SULFUR TRIOXIDE,zwaveltrioxide,,,SO3,,,12210-38-7|7446-11-9,,compound:CID24682,conceptscheme:chemische_stof,,status:todo
AKLOLDQYWQAREW-UHFFFAOYSA-N,"3,4-DINITROPHENOL","3,4-dinitrofenol",,,34DNO2Fol,,,577-71-9,,compound:CID11348,conceptscheme:chemische_stof,,status:todo
AKNPEMSZIKCOGC-UHFFFAOYSA-L,chromium(6+);oxygen(2-);dichloride,,Chromyl chloride,,,,,14977-61-8,239-056-8,compound:CID22150757,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
AKNQMEBLVAMSNZ-UHFFFAOYSA-N,"1-[[2-(2,4-dichlorophenyl)-1,3-dioxolan-2-yl]methyl]-1,2,4-triazole",azaconazool,,,azacnzl,,,60207-31-0,,compound:CID43233,conceptscheme:chemische_stof,,status:todo
AKPLHCDWDRPJGD-UHFFFAOYSA-N,"7-chloro-5-phenyl-1,3-dihydro-1,4-benzodiazepin-2-one",desmethyldiazepam,,,desC1yDazpm,,,1088-11-5,,compound:CID2997,conceptscheme:chemische_stof,,status:todo
AKUZJQBOBCRXOK-UHFFFAOYSA-N,"(3-azaniumyl-4-methylphenyl)azanium;sulfate|4-methylbenzene-1,3-diamine;sulfuric acid",,"2,4-Diaminotoluene sulfate|4-Methyl-1,3-benzenediamine sulfate",,,,,65321-67-7,265-697-8,compound:CID45108317|compound:CID6455108,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
ALDJIKXAHSDLLB-UHFFFAOYSA-N,"1,2-dichloro-3-(2,5-dichlorophenyl)benzene","2,2',3,5'-tetrachloorbifenyl",,,PCB44,,,41464-39-5|70362-46-8,,compound:CID38875,conceptscheme:chemische_stof,,status:todo
ALEHWDIPILHWRS-UHFFFAOYSA-N,"2-ethylhexanoic acid;nickel;2,2,2-trifluoroacetic acid",,"Nickel, (2-ethylhexanoato-kappaO)(2,2,2-trifluoroacetato-kappaO)-",,,,,70776-98-6,,compound:CID116698,conceptscheme:chemische_stof,zorgwekkende_stof:zorgwekkende_stof,status:todo
